"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
137,"2024-08-15","HOLD","224.60000610351562","123872.56296368469","2025-01-09 20:52:10.603487"
138,"2024-08-16","HOLD","223.9199981689453","123872.56220366413","2025-01-09 20:52:10.603487"
139,"2024-08-19","HOLD","225.72000122070312","123872.56421546318","2025-01-09 20:52:10.603487"
140,"2024-08-20","HOLD","225.77000427246094","123872.56427134981","2025-01-09 20:52:10.603487"
141,"2024-08-21","HOLD","226.52000427246094","123872.56510959798","2025-01-09 20:52:10.603487"
142,"2024-08-22","HOLD","227.7899932861328","123872.5665290193","2025-01-09 20:52:10.603487"
143,"2024-08-23","HOLD","225.66000366210938","123872.56414840606","2025-01-09 20:52:10.603487"
144,"2024-08-26","HOLD","226.75999450683594","123872.56537782648","2025-01-09 20:52:10.603487"
145,"2024-08-27","HOLD","226.0","123872.5645284078","2025-01-09 20:52:10.603487"
146,"2024-08-28","HOLD","227.9199981689453","123872.5666743211","2025-01-09 20:52:10.603487"
147,"2024-08-29","HOLD","230.10000610351562","123872.56911083803","2025-01-09 20:52:10.603487"
148,"2024-08-30","HOLD","230.19000244140625","123872.56921142372","2025-01-09 20:52:10.603487"
149,"2024-09-03","HOLD","228.5500030517578","123872.56737845503","2025-01-09 20:52:10.603487"
150,"2024-09-04","SELL","221.66000366210938","123872.55955387835","2025-01-09 20:52:10.603487"
151,"2024-09-05","SELL","221.6300048828125","123872.5594751871","2025-01-09 20:52:10.603487"
152,"2024-09-06","SELL","223.9499969482422","123872.56009214252","2025-01-09 20:52:10.603487"
153,"2024-09-09","SELL","220.82000732421875","123872.55963943267","2025-01-09 20:52:10.603487"
154,"2024-09-10","SELL","218.9199981689453","123872.55949906317","2025-01-09 20:52:10.603487"
155,"2024-09-11","SELL","221.4600067138672","123872.5595839106","2025-01-09 20:52:10.603487"
156,"2024-09-12","SELL","222.5","123872.55960012971","2025-01-09 20:52:10.603487"
157,"2024-09-13","SELL","223.5800018310547","123872.55960858389","2025-01-09 20:52:10.603487"
158,"2024-09-16","SELL","216.5399932861328","123872.55957737539","2025-01-09 20:52:10.603487"
159,"2024-09-17","HOLD","215.75","123872.55957565088","2025-01-09 20:52:10.603487"
160,"2024-09-18","HOLD","217.5500030517578","123872.55957958018","2025-01-09 20:52:10.603487"
161,"2024-09-19","HOLD","224.99000549316406","123872.55959582125","2025-01-09 20:52:10.603487"
162,"2024-09-20","HOLD","229.97000122070312","123872.55960669227","2025-01-09 20:52:10.603487"
163,"2024-09-23","HOLD","227.33999633789062","123872.55960095114","2025-01-09 20:52:10.603487"
164,"2024-09-24","HOLD","228.64999389648438","123872.55960381078","2025-01-09 20:52:10.603487"
165,"2024-09-25","HOLD","224.92999267578125","123872.55959569024","2025-01-09 20:52:10.603487"
166,"2024-09-26","HOLD","227.3000030517578","123872.55960086382","2025-01-09 20:52:10.603487"
167,"2024-09-27","HOLD","228.4600067138672","123872.55960339605","2025-01-09 20:52:10.603487"
168,"2024-09-30","HOLD","230.0399932861328","123872.55960684505","2025-01-09 20:52:10.603487"
169,"2024-10-01","HOLD","229.52000427246094","123872.55960570995","2025-01-09 20:52:10.603487"
170,"2024-10-02","HOLD","225.88999938964844","123872.55959778588","2025-01-09 20:52:10.603487"
171,"2024-10-03","HOLD","225.13999938964844","123872.55959614867","2025-01-09 20:52:10.603487"
172,"2024-10-04","HOLD","227.89999389648438","123872.55960217357","2025-01-09 20:52:10.603487"
173,"2024-10-07","SELL","224.5","123872.55959450656","2025-01-09 20:52:10.603487"
174,"2024-10-08","SELL","224.3000030517578","123872.55959416587","2025-01-09 20:52:10.603487"
175,"2024-10-09","SELL","225.22999572753906","123872.55959461194","2025-01-09 20:52:10.603487"
176,"2024-10-10","HOLD","227.77999877929688","123872.55959530776","2025-01-09 20:52:10.603487"
177,"2024-10-11","HOLD","229.3000030517578","123872.55959572252","2025-01-09 20:52:10.603487"
178,"2024-10-14","HOLD","228.6999969482422","123872.55959555879","2025-01-09 20:52:10.603487"
179,"2024-10-15","HOLD","233.61000061035156","123872.55959689857","2025-01-09 20:52:10.603487"
180,"2024-10-16","HOLD","231.60000610351562","123872.55959635011","2025-01-09 20:52:10.603487"
181,"2024-10-17","HOLD","233.42999267578125","123872.55959684946","2025-01-09 20:52:10.603487"
182,"2024-10-18","HOLD","236.17999267578125","123872.55959759984","2025-01-09 20:52:10.603487"
183,"2024-10-21","HOLD","234.4499969482422","123872.55959712778","2025-01-09 20:52:10.603487"
184,"2024-10-22","HOLD","233.88999938964844","123872.55959697497","2025-01-09 20:52:10.603487"
185,"2024-10-23","HOLD","234.0800018310547","123872.55959702682","2025-01-09 20:52:10.603487"
186,"2024-10-24","HOLD","229.97999572753906","123872.55959590807","2025-01-09 20:52:10.603487"
187,"2024-10-25","SELL","229.74000549316406","123872.55959581122","2025-01-09 20:52:10.603487"
188,"2024-10-28","SELL","233.32000732421875","123872.55959628374","2025-01-09 20:52:10.603487"
